code,country,Electronic Transactions,Consumer Protection,Privacy and Data Protection,Cybercrime,Indirect Taxation
604,Peru,Legislation,Legislation,Legislation,Legislation,No Legislation
608,Philippines,Legislation,Legislation,Legislation,Legislation,Legislation
616,Poland,Legislation,Legislation,Legislation,Legislation,Legislation
620,Portugal,Legislation,Legislation,Legislation,Legislation,Legislation
634,Qatar,Legislation,Legislation,Legislation,Legislation,No Legislation
410,Republic of Korea,Legislation,Legislation,Legislation,Legislation,Legislation
498,Republic of Moldova,Legislation,Legislation,Legislation,Legislation,Legislation
642,Romania,Legislation,Legislation,Legislation,Legislation,No Legislation
643,Russian Federation,Legislation,No Legislation,Legislation,Legislation,Legislation
646,Rwanda,Legislation,No Legislation,Legislation,Legislation,No Legislation
659,Saint Kitts and Nevis,Legislation,Draft Legislation,Legislation,Legislation,No Legislation
662,Saint Lucia,Legislation,No Legislation,Legislation,Legislation,No Legislation
670,Saint Vincent and the Grenadines,Legislation,Legislation,Legislation,Legislation,No Legislation
882,Samoa,Legislation,No Legislation,No Legislation,Legislation,No Legislation
674,San Marino,Legislation,No Data,Legislation,Legislation,No Legislation
678,Sao Tome and Principe,No Legislation,Legislation,Legislation,Legislation,No Legislation
682,Saudi Arabia,Legislation,Legislation,Legislation,Legislation,Legislation
686,Senegal,Legislation,Legislation,Legislation,Legislation,No Legislation
688,Serbia,Legislation,Legislation,Legislation,Legislation,Legislation
690,Seychelles,Legislation,Legislation,Legislation,Legislation,No Legislation
694,Sierra Leone,Legislation,No Legislation,No Legislation,Legislation,Legislation
702,Singapore,Legislation,No Legislation,Legislation,Legislation,Legislation
703,Slovakia,Legislation,No Legislation,Legislation,Legislation,Legislation
705,Slovenia,Legislation,No Legislation,Legislation,Legislation,Legislation
090,Solomon Islands,Legislation,No Legislation,No Legislation,No Legislation,No Legislation
706,Somalia,No Legislation,No Legislation,Legislation,No Legislation,No Legislation
710,South Africa,Legislation,Legislation,Legislation,Legislation,Legislation
728,South Sudan,No Legislation,No Legislation,No Legislation,Legislation,No Legislation
724,Spain,Legislation,Legislation,Legislation,Legislation,Legislation
144,Sri Lanka,Legislation,No Legislation,Legislation,Legislation,No Legislation
275,State of Palestine,Legislation,No Legislation,No Legislation,No Legislation,No Legislation
729,Sudan,Legislation,No Legislation,No Legislation,Legislation,No Legislation
740,Suriname,Legislation,Legislation,Legislation,Legislation,No Legislation
752,Sweden,Legislation,Legislation,Legislation,Legislation,Legislation
756,Switzerland,Legislation,No Legislation,Legislation,Legislation,Legislation
760,Syrian Arab Republic,Legislation,Legislation,Legislation,Legislation,No Legislation
762,Tajikistan,Legislation,No Data,Legislation,Legislation,Legislation
764,Thailand,Legislation,Legislation,Legislation,Legislation,Legislation
626,Timor-Leste,Legislation,Legislation,No Legislation,Legislation,No Legislation
768,Togo,Legislation,No Data,Legislation,Legislation,No Legislation
776,Tonga,Legislation,No Data,No Legislation,Legislation,No Legislation
780,Trinidad and Tobago,Legislation,No Data,Legislation,Legislation,No Legislation
788,Tunisia,Legislation,Legislation,Legislation,Legislation,No Legislation
795,Turkmenistan,Legislation,Legislation,Legislation,Legislation,No Legislation
798,Tuvalu,No Legislation,No Legislation,No Legislation,No Legislation,No Legislation
792,Türkiye,Legislation,Legislation,Legislation,Legislation,Legislation
800,Uganda,Legislation,Legislation,Legislation,Legislation,Legislation
804,Ukraine,Legislation,Legislation,Legislation,Legislation,Legislation
784,United Arab Emirates,Legislation,Legislation,Legislation,Legislation,Legislation
826,United Kingdom of Great Britain and Northern Ireland,Legislation,Legislation,Legislation,Legislation,Legislation
834,United Republic of Tanzania,Legislation,Legislation,Legislation,Legislation,Legislation
840,United States of America,Legislation,Legislation,Legislation,Legislation,Legislation
858,Uruguay,Legislation,Legislation,Legislation,Legislation,Legislation
860,Uzbekistan,Legislation,Legislation,Legislation,Legislation,Legislation
548,Vanuatu,Legislation,No Data,No Legislation,Legislation,No Legislation
862,Venezuela (Bolivarian Republic of),Legislation,No Data,No Legislation,Legislation,No Legislation
704,Viet Nam,Legislation,Legislation,Legislation,Legislation,Legislation
887,Yemen,Legislation,Legislation,Legislation,No Legislation,No Legislation
894,Zambia,Legislation,Legislation,Legislation,Legislation,Legislation
716,Zimbabwe,Draft Legislation,Legislation,Legislation,Legislation,Legislation
